distid	District	DivisionName	region
55	055 - MOBILE, AL	GULF	EAST
550	550 -		
551	551 -		
552	552 -		
553	553 -		
554	554 -		
555	555 -		
556	556 -		
557	557 -		
558	558 -		
559	559 -		
56	056 - CLEVELAND, OH	GREAT LAKES	CENTRAL
563	563 -		
564	564 - MIAMI, FL #564	GULF	EAST
565	565 -		
566	566 -		
57	057 - CHICAGO, IL	GREAT LAKES	CENTRAL
571	571 -		
576	576 -		
58	058 - BOSTON, MA	NORTHEAST	EAST
586	586 -		
587	587 -		
588	588 -		
59	059 - PHILADELPHIA, PA	NORTHEAST	EAST
590	590 -		
591	591 -		
592	592 -		
593	593 -		
594	594 -		
595	595 -		
596	596 -		
597	597 -		
598	598 -		
599	599 -		
6	06 - 		
60	060 - LONG ISLAND, NY	NORTHEAST	EAST
604	604 -		
606	606 -		
61	061 - SALT LAKE CITY, UT	NORTHWEST	WEST
610	610 -		
612	612 -		
62	062 - FARGO, ND	NORTH CENTRAL	CENTRAL
620	620 -		
626	626 -		
628	628 -		
63	063 - BIRMINGHAM, AL	SOUTHEAST	EAST
634	634 -		
64	064 - FT LAUDERDALE, FL	GULF	EAST
640	640 -		
648	648 -		
65	065 - WEST COLUMBIA, SC	SOUTHEAST	EAST
650	650 -		
654	654 -		
66	066 - 		
660	660 -		
664	664 -		
668	668 -		
67	067 - BALTIMORE, MD	SOUTHEAST	EAST
670	670 -		
68	068 - SEATTLE, WA	NORTHWEST	WEST
680	680 -		
684	684 -		
686	686 -		
69	069 - VENTURA, CA	CORPORATE DIVISION	CORPORATE
690	690 -		
691	691 - DANIEL SALVATIERRA (001)	CORPORATE DIVISION	CORPORATE
692	692 - CATHERINE WRIGHT (1CW)	CORPORATE DIVISION	CORPORATE
693	693 - MATTHEW FREEMAN (5MF)	HEARTLAND	WEST
694	694 - DAVID MARSHALL (0DM)	CORPORATE DIVISION	CORPORATE
695	695 - MISC TECH (1MT)	CORPORATE DIVISION	CORPORATE
696	696 - ANDREW LIVENGOOD (2AL)	CORPORATE DIVISION	CORPORATE
697	697 - STEPHEN JONES (333)	CORPORATE DIVISION	CORPORATE
698	698 - LAURA SIMMONS (214)	CORPORATE DIVISION	CORPORATE
699	699 - CRYSTAL TALLANT (210)	MID CENTRAL	EAST
70	070 - COLUMBUS, OH	GREAT LAKES	CENTRAL
702	702 -		
704	704 -		
71	071 - SIOUX FALLS, SD	NORTH CENTRAL	CENTRAL
710	710 -		
712	712 -		
714	714 -		
716	716 -		
72	072 - SAN FRANCISCO, CA	NORTHWEST	WEST
720	720 -		
722	722 -		
724	724 -		
726	726 -		
728	728 -		
729	729 - KARA OVERLY (729)	CORPORATE DIVISION	CORPORATE
73	073 - NEW ORLEANS, LA	GULF	EAST
732	732 -		
734	734 - PAUL BREWER (293)	CORPORATE DIVISION	CORPORATE
738	738 - ANN CALLENDAR (1AC)	CORPORATE DIVISION	CORPORATE
74	074 - CHARLOTTE, NC	SOUTHEAST	EAST
740	740 - DUANE ANDERSON (561)	CORPORATE DIVISION	CORPORATE
741	741 - LOUIS APONTE (602)	CORPORATE DIVISION	CORPORATE
742	742 - TIBOR ARANY (276)	CORPORATE DIVISION	CORPORATE
744	744 -		
745	745 - LEIGH BARRY (781)	CORPORATE DIVISION	CORPORATE
748	748 -		
75	075 - DETROIT, MI	GREAT LAKES	CENTRAL
752	752 -		
754	754 -		
758	758 -		
76	076 - ANAHEIM, CA	SOUTHWEST	WEST
764	764 -		
766	766 -		
768	768 -		
77	077 - PHOENIX, AZ	SOUTHWEST	WEST
770	770 -		
773	773 - EISENHOWER HOPE (1ED)	CORPORATE DIVISION	CORPORATE
774	774 - RICHARD GAMA (1RG)	CORPORATE DIVISION	CORPORATE
776	776 - GEORGIA WHS (220)	CORPORATE DIVISION	CORPORATE
778	778 - MELISSA GLATZMAIER (1MG)	CORPORATE DIVISION	CORPORATE
78	078 - PITTSBURGH, PA	GREAT LAKES	CENTRAL
783	783 - GULF WHS (660)	CORPORATE DIVISION	CORPORATE
79	079 - UHS - CAHILL		CORPORATE
794	794 - HOUSTON WHS (740)	CORPORATE DIVISION	CORPORATE
80	080 - UHS - CHAMPS		CORPORATE
800	800 - MISC	CORPORATE DIVISION	CORPORATE
801	801 - CHICAGO COE	CENTERS OF EXCELLENCE	C O EXCELLENCE
802	802 - MISC	CORPORATE DIVISION	CORPORATE
803	803 - EDWARD JARMAKOWICZ (268)	CORPORATE DIVISION	CORPORATE
804	804 - MIJAIL JARQUIN (610)	CORPORATE DIVISION	CORPORATE
805	805 - JASON JOHANSEN (1JJ)	CORPORATE DIVISION	CORPORATE
806	806 - JUSTIN JOHANSEN (208)	CORPORATE DIVISION	CORPORATE
809	809 - STEPHEN JONES (801)	CORPORATE DIVISION	CORPORATE
81	081 - SECONDARY MARKETS	CORPORATE DIVISION	CORPORATE
810	810 - ARMAND JOSE (2AJ)	CORPORATE DIVISION	CORPORATE
811	811 - KANSAS CITY WHS (500)	CORPORATE DIVISION	CORPORATE
814	814 - JORDAN LABELLE (5JB)	CORPORATE DIVISION	CORPORATE
815	815 - TYLER LAWSON (224)	CORPORATE DIVISION	CORPORATE
816	816 - LITTLEROCK WHS (180)	CORPORATE DIVISION	CORPORATE
819	819 - MADISON WI WHS (420)	CORPORATE DIVISION	CORPORATE
82	082 - TOTOWA COE	CENTERS OF EXCELLENCE	C O EXCELLENCE
820	820 - DAVID MAJOR (721)	CORPORATE DIVISION	CORPORATE
821	821 - NEB MALCOM (822)	CORPORATE DIVISION	CORPORATE
822	822 - EDDIE MALDONADO (606)	CORPORATE DIVISION	CORPORATE
826	826 - WADEA MCCLYMONT (583)	CORPORATE DIVISION	CORPORATE
828	828 - JEFFREY MCGURK (641)	CORPORATE DIVISION	CORPORATE
829	829 - KEITH MCQEEN (272)	CORPORATE DIVISION	CORPORATE
83	083 - GRAND RAPIDS, MI	GREAT LAKES	CENTRAL
831	831 - MID ATLANTIC WHS (720)	CORPORATE DIVISION	CORPORATE
832	832 - CHRISTOPHER MILLER (565)	CORPORATE DIVISION	CORPORATE
833	833 - MILWAUKEE WHS (340)	CORPORATE DIVISION	CORPORATE
835	835 - MISC. TECH3 (MT3)	CORPORATE DIVISION	CORPORATE
836	836 - MISC. TECH6 (9MT)	CORPORATE DIVISION	CORPORATE
837	837 - MISSISSIPPI WHS (780)	CORPORATE DIVISION	CORPORATE
838	838 - MOBILE WHS (120)	CORPORATE DIVISION	CORPORATE
84	084 - REHARVESTING CENTER	CENTERS OF EXCELLENCE	C O EXCELLENCE
840	840 - ORLANDO MORRISON (608)	CORPORATE DIVISION	CORPORATE
841	841 - NASHVILLE WHS (200)	CORPORATE DIVISION	CORPORATE
842	842 - NEVADA WHS (4WH)	CORPORATE DIVISION	CORPORATE
843	843 - NEW HAMPSHIRE WHS (800)	CORPORATE DIVISION	CORPORATE
